link,player,season,age,tm,lg,pos,g,gs,FirstSeasonMP,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,SeasonNumber_1,SeasonNumberAdj,CumSumSeasonAdj,SeasonNumber,mp,games,games_started,NumberOfSeasons,status,LastSeason,DraftYear,PickNumber,Team,College,wprev,w_lpercentprev,wcur,w_lpercentcur
/players/c/catoke01.html,Kelvin Cato,1997-98,23,POR,NBA,C,74,8,13.6,1.3,3.1,0.428,0,0,0,1.3,3.1,0.434,0.428,1.2,1.7,0.688,1.2,2.2,3.4,0.3,0.4,1.3,0.6,2.2,3.8,1,0,0,1,10622.6,541,248,10,2,2006-07,1997,15,DAL,Iowa State,47,0.5734,46,0.5612
/players/c/chandty01.html,Tyson Chandler,2001-02,19,CHI,NBA,C,71,31,19.6,2.1,4.3,0.497,0,0,NA,2.1,4.3,0.497,0.497,1.9,3.1,0.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1,1,0,0,1,31612.8,1160,886,19,1,2019-20,2001,2,LAC,,35.2,0.4516,25.6,0.3346
/players/c/cheanca01.html,Calbert Cheaney,1993-94,22,WAS,NBA,SG,65,21,24.7,5,10.7,0.47,0,0.4,0.043,5,10.4,0.484,0.471,1.9,2.5,0.77,1.4,1.6,2.9,1.9,1,0.2,1.7,2.3,12,1,0,0,1,22004.4,825,498,13,2,2005-06,1993,6,WSB,Indiana,29.6,0.361,26.4,0.322
/players/c/childch01.html,Chris Childs,1994-95,27,NJN,NBA,PG,53,11,19.3,2,5.3,0.38,0.8,2.4,0.328,1.2,2.9,0.422,0.453,1,1.4,0.753,0.3,1,1.3,4.1,0.8,0.1,1.4,2.2,5.8,1,0,0,1,13616.9,541,137,9,2,2002-03,NA,61,NA,NA,34.2,0.417,36.8,0.4488
/players/c/chrisdo01.html,Doug Christie,1992-93,22,LAL,NBA,SG,23,0,14.4,2,4.6,0.425,0.1,0.5,0.167,1.9,4.1,0.457,0.434,2.2,2.9,0.758,1,1.2,2.2,2.3,1,0.2,2.2,2.3,6.2,1,0,0,1,26080.4,827,708,15,2,2006-07,1992,17,SEA,Pepperdine,56.6,0.69,52,0.634
/players/c/clarkke01.html,Keon Clark,1998-99,23,DEN,NBA,C,28,0,14.6,1.3,2.9,0.45,0,0,0,1.3,2.8,0.456,0.45,0.8,1.3,0.568,1.3,2.1,3.4,0.4,0.4,1.1,0.8,1.9,3.3,1,0,0,1,7972.1,353,65,6,2,2003-04,1998,13,ORL,UNLV,30,0.3658,24.4,0.323
/players/c/claxtsp01.html,Speedy Claxton,2001-02,23,PHI,NBA,PG,67,18,22.8,2.7,6.7,0.4,0.1,0.5,0.121,2.6,6.3,0.422,0.405,1.7,2,0.838,0.7,1.7,2.4,3,1.4,0.1,1.4,2.2,7.2,1,0,0,1,8544.6,334,128,7,2,2008-09,2000,20,PHI,Hofstra,37,0.5002,41.2,0.5514
/players/c/cleavma01.html,Mateen Cleaves,2000-01,23,DET,NBA,PG,78,8,16.3,2.1,5.1,0.4,0.1,0.2,0.294,2,4.9,0.405,0.406,1.2,1.8,0.708,0.3,1.4,1.7,2.7,0.6,0,1.8,2,5.4,1,0,0,1,1866.1000000000001,167,10,6,2,2005-06,2000,14,DET,Michigan State,41.2,0.5514,38.4,0.5172
/players/c/colemde01.html,Derrick Coleman,1990-91,23,NJN,NBA,PF,74,68,35.2,6.9,14.9,0.467,0.2,0.5,0.342,6.8,14.4,0.472,0.473,4.4,6,0.731,3.6,6.6,10.3,2.2,1,1.3,2.9,2.9,18.4,1,0,0,1,25913.7,781,672,15,2,2004-05,1990,1,NJN,Syracuse,28.6,0.3488,25.4,0.3098
/players/c/colesbi01.html,Bimbo Coles,1990-91,22,MIA,NBA,PG,82,9,16.5,2,4.8,0.412,0.1,0.4,0.176,1.9,4.4,0.435,0.42,0.9,1.2,0.747,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1.8,4.9,1,0,0,1,20328.5,852,354,14,2,2003-04,1990,40,SAC,Virginia Tech,NA,NA,NA,NA
